NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
DENPRYX;CLORIDRATO DE VALACICLOVIR;ANTIVIROTICOS;FARMOQUIMICA S/A
DICLOFENACO SODICO;DICLOFENACO SODICO;ANTINFLAMATORIOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FLEBOGAMMA;IMUNOGLOBULINA HUMANA;IMUNOGLOBULINAS;GRIFOLS BRASIL LTDA
LABORIODINE TINTURA;;;EUROFARMA LABORATORIOS S.A.
NARISORO;;;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
GELDROX;;;CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA
PREDNISOLONA;PREDNISOLONA;GLICOCORTICOIDES SISTEMICOS;EUROFARMA LABORATORIOS S.A.
SUPER POWER CICATRIZ;;;EMPRESA DE TESTE LTDA. (VS01)
TADALAFILA;TADALAFILA;VASODILATADORES;LABORATORIO TEUTO BRASILEIRO S/A
DICLORIDRATO DE BETAISTINA;DICLORIDRATO DE BETAISTINA;VASODILATADORES;AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA
TURNO XR;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;EUROFARMA LABORATORIOS S.A.
AGUA OXIGENADA 10 VOLUMES CUREX;;;FARMAX S.A.
UMAN ALBUMIN;ALBUMINA HUMANA;FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA;KEDRION BRASIL LTDA.
ACNETHEO;;;THEODORO F SOBRAL & CIA LTDA
AMONIA;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CITRATO DE SILDENAFILA;CITRATO DE SILDENAFILA;VASODILATADORES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
COAMA;CAPECITABINA;OUTROS ANTINEOPLASICOS;EMS S/A
NUBEQA;DAROLUTAMIDA;ANTIANDRAGENOS;BAYER S.A.
CLORIDRATO DE AMBROXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES BALSAMICOS E MUCOLITICO;FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
DIMEZIN EMULSAO 75MG/ML;;;LABORATORIO TEUTO BRASILEIRO S/A
NUVIGIL;armodafinila;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;TEVA FARMACEUTICA LTDA.
TESTE DE NOME COMERCIAL;;;EMPRESA DE TESTE LTDA. (VS01)
ACETATO DE DEXAMETASONA;ACETATO DE DEXAMETASONA;HORMONIOS CORTICOSTEROIDES;PHARLAB INDUSTRIA FARMACEUTICA S.A.
DEX BOLSA;CLORIDRATO DE DEXMEDETOMIDINA;HIPNOTICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
FRUTOSE 5%;FRUTOSE;REIDRATANTES PARENTERAIS;FRESENIUS KABI BRASIL LTDA
ADDERA D3;COLECALCIFEROL;ANALOGO SINTETICO DA VITAMINA D;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
FURP - FENITOINA;FENITOINA;ANTICONVULSIVANTES;FUNDACAO PARA O REMEDIO POPULAR - FURP
NITRATO DE PRATA IFAL;;;IFAL INDUSTRIA E COMERCIO DE PRODUTOS FARMAC LTDA
RIALCOOL 70% ANTISSePTICO;;;RIOQUIMICA S.A.
VI - FERRIN;FERRO QUELADO, FERRO QUELATO, ACIDO FOLICO, CIANOCOBALAMINA;ANTIANEMICOS;LABORATORIO FARMACEUTICO ELOFAR LTDA
ALBENDAZOL;;ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL;BIOSINTETICA FARMACEUTICA LTDA
OLMESARTANA MEDOXOMILA+HIDROCLOROTIAZIDA;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
OSAMY;lacosamida;ANTICONVULSIVANTES;ACHE LABORATORIOS FARMACEUTICOS S.A
SOMALGIN CARDIO;ACIDO ACETILSALICILICO, CARBONATO DE MAGNESIO, GLICINATO DE ALUMINIO;ANALGESICOS NAO NARCOTICOS;EMS SIGMA PHARMA LTDA
DAPFLOW;dapagliflozina;ANTIDIABETICOS;EMS S/A
DICLORIDRATO DE PRAMIPEXOL;DICLORIDRATO DE PRAMIPEXOL;ANTIPARKINSONIANOS;ACHE LABORATORIOS FARMACEUTICOS S.A
BENEGRIP MULTI DIA;PARACETAMOL, CLORIDRATO DE FENILEFRINA;ANALGESICOS NAO NARCOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
CLORIDRATO DE DONEPEZILA;CLORIDRATO DE DONEPEZILA;OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO;SANOFI MEDLEY FARMACEUTICA LTDA.
TANDENE;CARISOPRODOL, DICLOFENACO DE SODIO, PARACETAMOL, CAFEINA;RELAXANTES MUSCULARES;CELLERA FARMACEUTICA S.A.
CLORIDRATO DE DULOXETINA;CLORIDRATO DE DULOXETINA;ANTIDEPRESSIVOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
GLIBENCLAMIDA;GLIBENCLAMIDA;ANTIDIABETICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
LANSOPRAZOL;LANSOPRAZOL;ANTIULCEROSOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
RIOPAN PLUS;MAGALDRATO, DIMETICONA, SIMETICONA;ANTIACIDOS E ANTIULCEROSOS;TAKEDA PHARMA LTDA.
AGUA BORICADA CUREX;;;FARMAX S.A.
JOLIK;PREGABALINA;OUTROS ANTIEPILATICOS;LIBBS FARMACEUTICA LTDA
V-TOSSE;HEDERA HELIX L.;;EUROFARMA LABORATORIOS S.A.
EMILY;ACETATO DE CLORMADINONA, ETINILESTRADIOL;ANTICONCEPCIONAIS;GERMED FARMACEUTICA LTDA
XAB;RIVAROXABANA;ANTITROMBOTICO;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ALIMAX;HEPARINA SODICA SUINA;;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
BESILATO DE ANLODIPINO + LOSARTANA POTASSICA;BESILATO DE ANLODIPINO, losartana potassica;ANTI-HIPERTENSIVOS;GERMED FARMACEUTICA LTDA
CETOFENID;CETOPROFENO;ANTINFLAMATORIOS ANTIREUMATICOS;LABORATORIO TEUTO BRASILEIRO S/A
TADALAFILA;TADALAFILA;VASODILATADORES;RANBAXY FARMACEUTICA LTDA
CLORIDRATO DE ONDANSETRONA;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
NEBACTRINA;SULFATO DE NEOMICINA, BACITRACINA ZINCICA;ANTINFECCIOSOS TOPICOS;PHARLAB INDUSTRIA FARMACEUTICA S.A.
LUNE FLASH;HEMITARTARATO DE ZOLPIDEM;HIPNOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
MENQUADFI;POLISSACARIDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO A CONJUGADO A PROTEINA CARREADORA TOXOIDE TETANICO, POLISSACARIDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO C CONJUGADO A PROTEINA CARREADORA TOXOIDE TETANICO, POLISSACARIDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO W CONJUGADO A PROTEINA CARREADORA TOXOIDE TETANICO , POLISSACARIDEO DE NEISSERIA MENINGITIDIS DO SOROGRUPO Y CONJU;VACINAS;SANOFI MEDLEY FARMACEUTICA LTDA.
SOLUCAO DE MANITOL EQUIPLEX;MANITOL;REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL;EQUIPLEX INDUSTRIA FARMACEUTICA LTDA
ACIDO FUSIDICO + VALERATO DE BETAMETASONA;ACIDO FUSIDICO, VALERATO DE BETAMETASONA;ANTIMICOTICOS PARA USO TOPICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
BACLOFEN;BACLOFENO;RELAXANTES MUSCULARES CENTRAIS SIMPLES;LABORATORIO TEUTO BRASILEIRO S/A
BESILATO DE ANLODIPINO;BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS;VITAMEDIC INDUSTRIA FARMACEUTICA LTDA
DIGESOL;BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES;UNITHER INDUSTRIA FARMACEUTICA LTDA.
LORATADINA;LORATADINA;ANTI-HISTAMINICOS SISTEMICOS;PRATI DONADUZZI & CIA LTDA
SULFATO DE ATAZANAVIR;SULFATO DE ATAZANAVIR;ANTIVIROTICOS (INIBE REPLICACAO VIROTICA);FUNDACAO OSWALDO CRUZ
ACETILCISTEINA;ACETILCISTEINA;EXPECTORANTES BALSAMICOS E MUCOLITICO;BLAU FARMACEUTICA S.A.
DOLUTEGRAVIR SODICO;dolutegravir sodico;ANTIRETROVIRAL;BLANVER FARMOQUIMICA E FARMACEUTICA S.A.
GLICONATO DE CLOREXIDINA 2%;;;UNITHER INDUSTRIA FARMACEUTICA LTDA.
STRENSIQ;ALFA-ASFOTASE;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;ASTRAZENECA DO BRASIL LTDA
EFRINALIN;HEMITARTARATO DE EPINEFRINA;VASOCONSTRITORES E HIPERTENSORES;BLAU FARMACEUTICA S.A.
JARDIANCE DUO;empagliflozina, CLORIDRATO DE METFORMINA;ANTIDIABETICOS;BOEHRINGER INGELHEIM DO BRASIL QUIMICA E FARMACEUTICA LTDA.
- OLEO DE RICINO;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
CLORIDRATO DE DEXMEDETOMIDINA;CLORIDRATO DE DEXMEDETOMIDINA;HIPNOTICOS;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FURP-HIOSCINA;BUTILBROMETO DE ESCOPOLAMINA;ANTIESPASMODICOS;FUNDACAO PARA O REMEDIO POPULAR - FURP
IVB - INSULINA ISOFANA NPH;insulina isofana;ANTIDIABETICOS;INSTITUTO VITAL BRAZIL S/A
CLORETO DE SODIO SOLUCAO FISIOLOGICA PARA IRRIGACAO - BAXTER;CLORETO DE SODIO;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;BAXTER HOSPITALAR LTDA
CICLOMIDRIN;TROPICAMIDA;MIDRIATICOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
EMNYRA;teriflunomida;IMUNOMODULADOR;BIOTEC BIOLOGICA INDUSTRIA FARMACEUTICA LTDA.
GLICERINA 12%;GLICEROL;ENEMAS;FARMACE INDUSTRIA QUIMICO-FARMACEUTICA CEARENSE LTDA
HIDROXIDO DE ALUMINIO;;;LABORATORIO PHOS - KOLA LTDA
CLONAZEPAM;CLONAZEPAM;ANTICONVULSIVANTES;HIPOLABOR FARMACEUTICA LTDA
MONTELUCASTE SODICO;MONTELUCASTE de SODIO;ANTIASMATICOS;ZYDUS NIKKHO FARMACEUTICA LTDA
ALIVGLAS;;;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.
ESOMEPRAZOL SODICO;ESOMEPRAZOL SODICO;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;ACCORD FARMACEUTICA LTDA
OZ;CLORIDRATO DE DORZOLAMIDA, MALEATO DE TIMOLOL;ANTIGLAUCOMATOSOS;SUN FARMACEUTICA DO BRASIL LTDA
BIO-MANGUINHOS ADALIMUMABE;ADALIMUMABE;IMUNOMODULADOR;FUNDACAO OSWALDO CRUZ
CAMZYOS;MAVACANTENO;OUTRAS PREPARACOES CARDIACAS;BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA
GLIONIL;GLIBENCLAMIDA;ANTIDIABETICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
KEFAZOL;CEFAZOLINA SODICA;ANTIBIOTICOS SISTEMICOS SIMPLES;ANTIBIOTICOS DO BRASIL LTDA
BYFAVO;BESILATO DE REMIMAZOLAM;HIPNOTICOS E SEDATIVOS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
CLORIDRATO DE FINGOLIMODE;CLORIDRATO DE FINGOLIMODE;AGENTE IMUNOSUPRESSOR;ACCORD FARMACEUTICA LTDA
SOLUcAO ESTERIL DE CLORETO DE SoDIO 0,9%;;;BEKER PRODUTOS FARMACO HOSPITALARES LTDA
EXCALV;FINASTERIDA;INIBIDOR DA ALFA-REDUTASE;LABORATORIO TEUTO BRASILEIRO S/A
OLSAR H;OLMESARTANA MEDOXOMILA, HIDROCLOROTIAZIDA;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;EUROFARMA LABORATORIOS S.A.
CLORIDRATO DE PROPRANOLOL;CLORIDRATO DE PROPRANOLOL;BETABLOQUEADORES SIMPLES;SANOFI MEDLEY FARMACEUTICA LTDA.
CLORIDRATO DE SEVELAMER;CLORIDRATO DE SEVELAMER;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;FUNDACAO BAIANA DE PESQ. CIENTIFICA E DESENV. TECNOLOGICO, FOR
MELOXICAM;MELOXICAM;ANTINFLAMATORIOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ALANDRE;DIENOGESTe;PROGESTAGENOS SIMPLES;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
MIEBRA;CLORIDRATO DE CICLOBENZAPRINA;RELAXANTES MUSCULARES;GEOLAB INDUSTRIA FARMACEUTICA S/A
SUKRA;SUCRALFATO;ANTIULCEROSOS;EUROFARMA LABORATORIOS S.A.
CELECOXIBE;CELECOXIBE;ANTINFLAMATORIOS;RANBAXY FARMACEUTICA LTDA
PARATRAM;CLORIDRATO DE TRAMADOL, PARACETAMOL;ANALGESICOS NARCOTICOS;ADIUM S.A.
TYFLENGRIPE;PARACETAMOL, MALEATO DE CLORFENIRAMINA, CLORIDRATO DE FENILEFRINA;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;BRASTERAPICA PHARMACEUTICA LTDA.
DVARIZ;DIOSMINA, FLAVONOIDES EXPRESSOS EM HESPERIDINA;ANTIVARICOSOS DE ACAO SISTEMICA;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
FLAXXIL;DICLOFENACO DIETILAMONIO, DICLOFENACO POTASSICO, DICLOFENACO RESINATO;ANTINFLAMATORIOS ANTIREUMATICOS;CIMED INDUSTRIA S.A
OLEO MINERAL 100%;;;FBM INDUSTRIA FARMACEUTICA LTDA
ASTRO;AZITROMICINA DI-hIDRATADA;ANTIBIOTICOS SISTEMICOS SIMPLES;EUROFARMA LABORATORIOS S.A.
NOLVADEX;CITRATO DE TAMOXIFENO;ANTINEOPLASICO;ASTRAZENECA DO BRASIL LTDA
AMOXICILINA;AMOXICILINA TRI-hIDRATADA, AMOXICILINA TRIHIDRATADA;PENICILINA DE AMPLO ESPECTRO;CIMED INDUSTRIA S.A
BROMOPRIDA;BROMOPRIDA;ANTIEMETICOS E ANTINAUSEANTES;SANOFI MEDLEY FARMACEUTICA LTDA.
CLORIDRATO DE SITAGLIPTINA MONOIDRATADO + CLORIDRATO DE METFORMINA;CLORIDRATO DE SITAGLIPTINA MONOIDRATADO, CLORIDRATO DE METFORMINA;ANTIDIABETICOS;DR. REDDYS FARMACEUTICA DO BRASIL LTDA
TESTE NOVA VASELINA;;;EMPRESA DE TESTE LTDA. (VS01)
TREBYXAN;CLORIDRATO DE IRINOTECANO TRIIDRATADO;ANTINEOPLASICO;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
CILOSTAZOL;CILOSTAZOL;ANTITROMBOTICO;ACHE LABORATORIOS FARMACEUTICOS S.A
IMURAN;AZATIOPRINA;ANTIMETABOLICOS ANALOGOS DA PURINA;ASPEN PHARMA INDUSTRIA FARMACEUTICA LTDA
PROSTATAL;SERENOA REPENS (W. BARTRAM) SMALL;;HERBARIUM LABORATORIO BOTANICO LTDA
RIVAROXABANA;RIVAROXABANA;ANTITROMBOTICO;GERMED FARMACEUTICA LTDA
TESTE - VASELINA;;;EMPRESA DE TESTE LTDA. (VS01)
AMOXIMED;AMOXICILINA TRIHIDRATADA;PENICILINA DE AMPLO ESPECTRO;CIMED INDUSTRIA S.A
BESILATO DE ANLODIPINO+ATENOLOL;BESILATO DE ANLODIPINO, ATENOLOL;ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS;EMS S/A
CLORIDRATO DE TRAMADOL + PARACETAMOL;CLORIDRATO DE TRAMADOL, PARACETAMOL;ANALGESICOS NARCOTICOS;EMS S/A
BUPIUM;CLORIDRATO DE BUPROPIONA;ANTITABAGICO;EMS SIGMA PHARMA LTDA
CLORIDRATO DE TICLOPIDINA;CLORIDRATO DE TICLOPIDINA;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;LABORATORIO TEUTO BRASILEIRO S/A
CEDUR;BEZAFIBRATO;ANTILIPEMICOS;TEVA FARMACEUTICA LTDA.
CLORIDRATO DE VENLAFAXINA;CLORIDRATO DE VENLAFAXINA;ANTIDEPRESSIVOS;EUROFARMA LABORATORIOS S.A.
AFTINE;SULFATO DE NEOMICINA, TARTARATO DE BISMUTO E SODIO, MENTOL, CLORIDRATO DE PROCAINA;PRODUTOS PARA OROFARINGE;CIFARMA CIENTIFICA FARMACEUTICA LTDA
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO;ANTIBIOTICOS SISTEMICOS SIMPLES;ZYDUS NIKKHO FARMACEUTICA LTDA
OXALATO DE ESCITALOPRAM;OXALATO DE ESCITALOPRAM;ANTIDEPRESSIVOS;CIMED INDUSTRIA S.A
ALCALONE;;;LABORATIL FARMACEUTICA LTDA
CLORIDRATO DE TRAMADOL;CLORIDRATO DE TRAMADOL;ANALGESICOS NARCOTICOS;EUROFARMA LABORATORIOS S.A.
FUNOK;ITRACONAZOL;ANTIMICOTICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
BISOLVON;CLORIDRATO DE BROMEXINA;EXPECTORANTES;OPELLA HEALTHCARE BRAZIL LTDA
CLORIDRATO DE DOBUTAMINA;CLORIDRATO DE DOBUTAMINA;MEDICAMENTOS C/ ACAO NO MIOCARDIO;HYPOFARMA - INSTITUTO DE HYPODERMIA E FARMACIA LTDA
SOLUCAO ANTIMICOTICA;;;J.R.D. INDUSTRIA FARMACEUTICA LTDA.
VABAM;RIVAROXABANA;AGENTES ANTITROMBOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
BROMIDRATO DE CITALOPRAM;BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS;EMS S/A
CLORIDRATO DE CIPROFLOXACINO;CLORIDRATO DE CIPROFLOXACINO;ANTINFECCIOSOS TOPICOS PARA USO OFTALMICO;EMS S/A
ANADOR;dipirona monoidratada;ANALGESICOS NAO NARCOTICOS;OPELLA HEALTHCARE BRAZIL LTDA
ATENOLAB;ATENOLOL;BETABLOQUEADORES SIMPLES;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
ENGOV;MALEATO DE MEPIRAMINA, HIDROXIDO DE ALUMINIO, ACIDO ACETILSALICILICO, CAFEINA;OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
SINVATROX;SINVASTATINA;ANTILIPEMICOS;LEGRAND PHARMA INDUSTRIA FARMACEUTICA LTDA
BACLON;BACLOFENO;RELAXANTES MUSCULARES CENTRAIS SIMPLES;UNIAO QUIMICA FARMACEUTICA NACIONAL S/A
ENTEROFTAL;;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
FIBROGAMMIN P;fator XIII de coagulacao, fator XIII;OUTROS PRODUTOS ANTI-HEMORRAGICOS;CSL BEHRING COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
REPLAGAL;alfagalsidase;ENZIMA PARA REPOSICAO;TAKEDA PHARMA LTDA.
ACEBROFILINA;ACEBROFILINA;BRONCODILATADORES;GERMED FARMACEUTICA LTDA
OCUSYS;MACROGOL, PROPILENOGLICOL;EMOLIENTES E PROTETORES OFTALMICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
RELYON;CLORIDRATO DE REMIFENTANILA;ANALGESICOS NARCOTICOS;ACHE LABORATORIOS FARMACEUTICOS S.A
SUPOSITORIO DE GLICERINA TEUTO - PEDIATRICO;;;LABORATORIO TEUTO BRASILEIRO S/A
CAPTOMIDO;CAPTOPRIL;ANTI-HIPERTENSIVOS SIMPLES;BELFAR LTDA
TROMETAMOL CETOROLACO;trometamol cetorolaco;ANTINFLAMATORIOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
CLORIDRATO DE AMBROXOL;CLORIDRATO DE AMBROXOL;EXPECTORANTES BALSAMICOS E MUCOLITICO;LABORATORIO TEUTO BRASILEIRO S/A
CLORIDRATO DE LOPERAMIDA;CLORIDRATO DE LOPERAMIDA;ANTIDIARREICOS SIMPLES SEM ACAO ANTIMICROBIANA;LABORATORIO GLOBO SA
HYAX;HIALURONIDASE, VALERATO DE BETAMETASONA;GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA;APSEN FARMACEUTICA S/A
PEN-VE-ORAL;FENOXIMETILPENICILINA;FENOXIPENICILINAS;EUROFARMA LABORATORIOS S.A.
SINVASTATINA;SINVASTATINA;ANTILIPEMICOS;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
NEBZSOL;;;LABORATORIO TAYUYNA LTDA
CAPECITABINA;CAPECITABINA;OUTROS ANTINEOPLASICOS;SUN FARMACEUTICA DO BRASIL LTDA
FENOFIBRATO;FENOFIBRATO;ANTILIPEMICOS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
FILGRASTIM;FILGRASTIM;OUTROS PRODUTOS QUE ATUAM NO SANGUE E HEMATOPOIESE;ACHE LABORATORIOS FARMACEUTICOS S.A
VIOLETA DE GENCIANA;;;LAPON INDUSTRIA FARMACEUTICA LTDA - EPP
VATIS;CLORIDRATO DE PROPAFENONA;ANTIARRITMICOS;LIBBS FARMACEUTICA LTDA
VOLUVEN 6%;HIDROXIETILAMIDO;SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS;FRESENIUS KABI BRASIL LTDA
ACICLOVIR;ACICLOVIR;ANTIVIROTICOS;INSTITUTO BIOCHIMICO INDUSTRIA FARMACEUTICA LTDA
BROMIDRATO DE CITALOPRAM;BROMIDRATO DE CITALOPRAM;ANTIDEPRESSIVOS;LABORATORIO TEUTO BRASILEIRO S/A
REHIDRAZOL;;;LABORATORIO GLOBO SA
DERMACERIUM;SULFADIAZINA DE PRATA, NITRATO DE CERIO;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
ECZO;ESZOPICLONA;HIPNOTICOS;MYRALIS INDUSTRIA FARMACEUTICA LTDA
SANTIAZEPAM;DIAZEPAM;ANSIOLITICOS SIMPLES;SANTISA LABORATORIO FARMACEUTICO S/A
DNAREN;DICLOFENACO SODICO;ANTINFLAMATORIOS ANTIREUMATICOS;BLAU FARMACEUTICA S.A.
HEBLAX;RHAMNUS PURSHIANA DC.;FITOTERAPICO SIMPLES;INFAN INDUSTRIA QUIMICA FARMACEUTICA NACIONAL S/A
LABORHEX 4,0%;;;EUROFARMA LABORATORIOS S.A.
CLORIDRATO DE BENDAMUSTINA;CLORIDRATO DE BENDAMUSTINA;ANTINEOPLASICOS CITOTOXICOS;TEVA FARMACEUTICA LTDA.
ACIDO ACETILSALICILICO;ACIDO ACETILSALICILICO;ANTIAGREGANTE PLAQUETARIO;EUROFARMA LABORATORIOS S.A.
AMONIA DILUIDA;;;HEMAFARMA COM. E IND. FARM. LTDA
DEXAMETASONA;DEXAMETASONA;GLICOCORTICOIDES SISTEMICOS;GEOLAB INDUSTRIA FARMACEUTICA S/A
HEMOFOL;HEPARINA SODICA SUINA, heparina suina;ANTICOAGULANTES;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
ACERTANLO;perindopril arginina, BESILATO DE ANLODIPINO;ANTI-HIPERTENSIVOS;LABORATORIOS SERVIER DO BRASIL LTDA
EMSFEB EFE;PARACETAMOL, CLORIDRATO DE PSEUDOEFEDRINA;PRODUTO P.TERAPIA SINTOMATICA DA GRIPE;EMS S/A
IBANUNO;IBANDRONATO DE SODIO MONOIDRATADO;SUPRESSORES DA REABSORCAO OSSEA;SUPERA FARMA LABORATORIOS S.A
ETER ETILICO 35/ VIC REMOV;;;VIC PHARMA INDUSTRIA E COMERCIO LTDA
DORIL DC 500;dipirona monoidratada, CAFEINA;ANALGESICOS NAO NARCOTICOS;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
RITOP;TOPIRAMATO;ANTICONVULSIVANTES;ZYDUS NIKKHO FARMACEUTICA LTDA
CEFALEXINA;CEFALEXINA;CEFALOSPORINAS;AUROBINDO PHARMA INDUSTRIA FARMACEUTICA LIMITADA
PERIDAL;DOMPERIDONA;ANTIEMETICOS E ANTINAUSEANTES;COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.
ORENCIA;ABATACEPTE;ANTINFLAMATORIOS ANTIREUMATICOS;BRISTOL-MYERS SQUIBB FARMACEUTICA LTDA
FERRO;FERRIPOLIMALTOSE;ANTIANEMICOS SIMPLES;BIOLAB SANUS FARMACEUTICA LTDA
LECTRUM;ACETATO DE LEUPRORRELINA;OUTROS HORMONIOS MEDIADORES E PRODUTOS EQUIVALENTES;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
PRIVYMTRA;LETERMOVIR;ANTIVIROTICOS;MERCK SHARP & DOHME FARMACEUTICA LTDA.
TAXOFEN;CITRATO DE TAMOXIFENO;ANTINEOPLASICO;BLAU FARMACEUTICA S.A.
XAROPE DE IODETO DE POTASSIO;;;VIDORA FARMACEUTICA LTDA
OPONAPA;PROPOFOL;ANESTESICOS GERAIS INJETAVEIS;CAMBER FARMACEUTICA LTDA
VULNAGEN;TIOCONAZOL, TINIDAZOL;ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS;BRAINFARMA INDUSTRIA QUIMICA E FARMACEUTICA S.A
LEVETIRACETAM;LEVETIRACETAM;ANTICONVULSIVANTES;GERMED FARMACEUTICA LTDA
NISTATINA + OXIDO DE ZINCO;NISTATINA, OXIDO DE ZINCO;EMOLIENTES E PROTETORES DA PELE E MUCOSAS;1FARMA INDUSTRIA FARMACEUTICA LTDA
ENSPRYNG;SATRALIZUMABE;IMUNOSSUPRESSORES SELETIVOS;PRODUTOS ROCHE QUIMICOS E FARMACEUTICOS S.A.
RYALTRIS;CLORIDRATO DE OLOPATADINA, FUROATO DE MOMETASONA MONOIDRATADO;PRODUTOS PARA TERAPIA NASAL DE ACAO ESPECIFICA;GLENMARK FARMACEUTICA LTDA
ONDANMED;CLORIDRATO DE ONDANSETRONA DI-hIDRATADO;ANTIEMETICOS E ANTINAUSEANTES;CIMED INDUSTRIA S.A
SCRUDEX;;;LABORATORIO SANOBIOL LTDA
