NOME_PRODUTO;PRINCIPIO_ATIVO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO
IKAROS;DESLORATADINA;ANTI-HISTAMINICOS SISTEMICOS;PRATI DONADUZZI & CIA LTDA
SULFATO DE BLEOMICINA;SULFATO DE BLEOMICINA;ANTIBIOTICOS ANTINEOPLASICOS;EUROFARMA LABORATORIOS S.A.
TERIFLUNOMIDA;teriflunomida;IMUNOMODULADOR;ACCORD FARMACEUTICA LTDA
DESOGESTREL;DESOGESTREL;ANTICONCEPCIONAIS;EXELTIS LABORATORIO FARMACEUTICO LTDA
KALOSTOP;;;PHARMASCIENCE INDUSTRIA FARMACEUTICA S.A
OLEO DE RACINIO 100% - RICINOL;;;NATIVITA IND. COM. LTDA.
APIXABANA;apixabana;ANTITROMBOTICO;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA
VEMLIDY;HEMIFUMARATO DE TENOFOVIR ALAFENAMIDA;;GILEAD SCIENCES FARMACEUTICA DO BRASIL LTDA
CAFEINA + CARISOPRODOL + DICLOFENACO SODICO + PARACETAMOL;PARACETAMOL, CARISOPRODOL, DICLOFENACO SODICO, CAFEINA;ANTINFLAMATORIOS;MCG INDUSTRIA FARMACEUTICA E IMPORTACAO LTDA
CLORIDRATO DE PALONOSETRONA;CLORIDRATO DE PALONOSETRONA;ANTIEMETICOS E ANTINAUSEANTES;ACCORD FARMACEUTICA LTDA
FOSFATO DE SITAGLIPTINA;FOSFATO DE SITAGLIPTINA;ANTIDIABETICOS;SUN FARMACEUTICA DO BRASIL LTDA
NQZIN BABY;NISTATINA, OXIDO DE ZINCO;ANTIMICOTICOS PARA USO TOPICO;MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA
OLEO DE RICINO ADV;;;LABORATORIO TAYUYNA LTDA
RISPERIDONA;risperidona;NEUROLEPTICOS;SANOFI MEDLEY FARMACEUTICA LTDA.
AGUA BORICADA;;;RIOQUIMICA S.A.
EMPAVELI;PEGCETACOPLANA;OUTROS PRODS NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF;PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA
HANDS FREE;;;LABORATORIO TAYUYNA LTDA
